First Names,Last Names
teruko,bowling
venus,hinkle
aimee,welsh
alvina,pagan
arleen,goldberg
asako,goins
carmella,crouch
catharine,cuevas
celeste,quinones
isobel,mcdermott
marcelle,hendrickson
mariko,samuels
nobuko,denton
noreen,bergeron
paz,lam
tatsuko,ivey
thais,locke
yukiko,haines
miyoko,thurman
hideko,snell
miyeko,hoskins
deloris,byrne
aloha,milton
emiko,winston
harumi,arthur
rufina,arias
beverley,stanford
diva,roe
eiko,corbin
elynor,beltran
felipa,chappell
fumiye,hurt
fusaye,downey
garnet,dooley
hanako,tuttle
hulda,couch
misako,payton
nobu,mcelroy
setsuko,crockett
taeko,groves
toshiye,clement
yasuko,leslie
lea,cartwright
lavina,dickey
lavona,mcgill
mardell,dubois
ardis,muniz
jeane,erwin
twila,self
clorinda,tolbert
celina,dempsey
concetta,cisneros
filomena,sewell
philomena,latham
michelina,garland
sabina,vigil
stacia,tapia
vilma,sterling
vincenza,rainey
hedwig,norwood
anastasia,lacy
concettina,stroud
gilda,meade
sebastiana,amos
stasia,tipton
antonette,lord
carmelina,kuhn
ebba,hilliard
felicia,bonilla
justine,teague
roslyn,courtney
santa,gunn
yvette,ho
pasqualina,greenwood
alfreda,correa
berenice,reece
joseph,weston
santina,poe
stephania,trent
lilyan,pineda
yetta,phipps
clementina,frey
germaine,kaiser
mafalda,ames
bella,paige
arlyne,gunter
bridget,schmitt
palma,milligan
raffaela,espinosa
susanne,carlton
steffie,bowden
sonia,vickers
annamae,lowry
olympia,pritchard
madaline,costello
eleanora,piper
therese,mcclellan
georgiana,lovell
romaine,drew
carole,sheehan
albertha,quick
doretha,hatch
verdell,dobson
etha,singh
lucretia,jeffries
vermell,hollingsworth
clifford,sorensen
eartha,meza
oveda,fink
ezell,donnelly
dalia,burrell
onelia,bruno
allean,tomlinson
altamease,colbert
clydie,billings
burnice,ritchie
doreatha,helton
lucie,sutherland
keturah,peoples
laurette,mcqueen
ruther,gaston
coretha,thomason
rosebud,mckinley
perry,givens
luevenia,crocker
curtis,vogel
elmer,robison
leonia,dunham
maybell,coker
otis,swartz
azzie,keys
blonnie,lilly
kizzie,ladner
lannie,hannah
mabell,willard
pennie,richter
trudy,hargrove
piccola,edmonds
melvina,brantley
hessie,albright
wessie,murdock
onnie,boswell
ardelia,muller
janette,quintero
maebell,padgett
nena,kenney
alline,daly
lollie,connolly
adel,pierre
arlena,inman
india,quintana
lavonia,lund
aggie,barnard
azalee,villegas
cara,simons
doshia,land
jodie,huggins
lilian,tidwell
lugenia,sanderson
marrie,bullard
reatha,mcclendon
ammie,duarte
wyolene,draper
drucilla,meredith
flonnie,marrero
vonnie,dwyer
coralee,abrams
ethelene,stover
christene,goode
eudell,fraser
fozie,crews
letitia,bernal
reather,smiley
thomas,godwin
monteen,fish
brownie,conklin
marylou,mcneal
azilee,baca
daisey,esparza
maudell,crowder
rosalyn,bower
samantha,nicholas
annelle,chung
beauty,brewster
berdie,mcneill
estoria,dick
