"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Stage 13","02 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 14","03 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 15","04 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 16","06 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 17","07 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 18","08 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 19","09 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 20","10 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 21","11 Sep 2011","","","","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Final Classification","11 Sep 2011","","https://dataride.uci.ch/iframe/EventResults/126001?competitionId=42669&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/126002?competitionId=42669&disciplineId=10","","20 Aug-11 Sep 2011","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42669?disciplineId=10","ESP","2.UWT","1"
"Stage 1","29 Aug 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 2","30 Aug 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 3","31 Aug 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 4","01 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 5","03 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 6","04 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 7","05 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 8","06 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 9","07 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 10","08 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 11","09 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 12","11 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 13","12 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 14","13 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 15","14 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 16","15 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 17","16 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 18","17 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
"Stage 19","18 Sep 2009","","","","","29 Aug-20 Sep 2009","Vuelta a España","https://dataride.uci.ch/iframe/CompetitionResults/42673?disciplineId=10","ESP","2.CH","1"
