"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Final Classification","14 Apr 2009","","https://dataride.uci.ch/iframe/EventResults/144564?competitionId=43424&disciplineId=10","","","14-Apr-09","GP Palio del Recioto","https://dataride.uci.ch/iframe/CompetitionResults/43424?disciplineId=10","ITA","1.2U","1"
"Final Classification","09 Sep 2011","","https://dataride.uci.ch/iframe/EventResults/125544?competitionId=45424&disciplineId=10","","","9-Sep-11","Grand Prix Cycliste de Québec","https://dataride.uci.ch/iframe/CompetitionResults/45424?disciplineId=10","CAN","1.UWT","1"
"Stage 1","27 Mar 2010","","","","","27 Mar-28 Mar 2010","Critérium International","https://dataride.uci.ch/iframe/CompetitionResults/42598?disciplineId=10","FRA","2.HC","1"
"Stage 3","28 Mar 2010","","","","","27 Mar-28 Mar 2010","Critérium International","https://dataride.uci.ch/iframe/CompetitionResults/42598?disciplineId=10","FRA","2.HC","1"
"Stage 2","28 Mar 2010","","","","","27 Mar-28 Mar 2010","Critérium International","https://dataride.uci.ch/iframe/CompetitionResults/42598?disciplineId=10","FRA","2.HC","1"
"Final Classification","28 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138475?competitionId=42598&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138478?competitionId=42598&disciplineId=10","","27 Mar-28 Mar 2010","Critérium International","https://dataride.uci.ch/iframe/CompetitionResults/42598?disciplineId=10","FRA","2.HC","1"
"Final Classification","15 Oct 2011","","https://dataride.uci.ch/iframe/EventResults/125132?competitionId=42919&disciplineId=10","","","15-Oct-11","Il Lombardia","https://dataride.uci.ch/iframe/CompetitionResults/42919?disciplineId=10","ITA","1.UWT","1"
"Prologue","26 Apr 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Stage 1","27 Apr 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Stage 2","28 Apr 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Stage 3","29 Apr 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
