date,competition,url,country,class,getsum
21-Jun-09,Int. Raiffeisen Grand Prix,/iframe/CompetitionResults/45089?disciplineId=10,AUT,1.2,0
19 Jun-21 Jun 2009,Tour des Pays de Savoie,/iframe/CompetitionResults/45195?disciplineId=10,FRA,2.2U,0
18 Jun-21 Jun 2009,Route du Sud - la Dépêche du Midi,/iframe/CompetitionResults/42616?disciplineId=10,FRA,2.1,0
18 Jun-21 Jun 2009,Tour de Slovénie,/iframe/CompetitionResults/43147?disciplineId=10,SLO,2.1,0
18 Jun-21 Jun 2009,Vuelta al Besaya,/iframe/CompetitionResults/43347?disciplineId=10,ESP,2.1,0
18 Jun-19 Jun 2009,Giro del Trentino Alto Adige - Südtirol,/iframe/CompetitionResults/43737?disciplineId=10,ITA,2.1,0
18 Jun-21 Jun 2009,Boucles de la Mayenne,/iframe/CompetitionResults/44353?disciplineId=10,FRA,2.2,0
18 Jun-20 Jun 2009,Tour of Malopolska,/iframe/CompetitionResults/44417?disciplineId=10,POL,2.2,0
18 Jun-20 Jun 2009,Rabo Ster Zeeuwsche Eilanden,/iframe/CompetitionResults/44640?disciplineId=10,NED,2.2,0
18 Jun-21 Jun 2009,Grande Boucle Féminine Internationale,/iframe/CompetitionResults/44827?disciplineId=10,FRA,2.2,0
17 Jun-21 Jun 2009,Ster Elektrotoer,/iframe/CompetitionResults/43106?disciplineId=10,NED,2.1,0
15 Jun-21 Jun 2009,Tour de Serbie,/iframe/CompetitionResults/43692?disciplineId=10,SRB,2.2,0
12 Jun-14 Jun 2009,Delta Tour Zeeland,/iframe/CompetitionResults/42732?disciplineId=10,NED,2.1,0
12 Jun-21 Jun 2009,Giro Ciclistico d'Italia,/iframe/CompetitionResults/43215?disciplineId=10,ITA,2.2,0
11 Jun-14 Jun 2009,Trofeo Karlsberg,/iframe/CompetitionResults/43337?disciplineId=10,GER,2.Ncup,0
11 Jun-14 Jun 2009,Iurreta-Emakumeen Bira,/iframe/CompetitionResults/43894?disciplineId=10,ESP,2.1,0
11 Jun-14 Jun 2009,GP Internacional CTT Correios de Portugal,/iframe/CompetitionResults/44087?disciplineId=10,POR,2.1,0
11 Jun-14 Jun 2009,Ronde de l'Oise,/iframe/CompetitionResults/44848?disciplineId=10,FRA,2.2,0
11 Jun-14 Jun 2009,Tour de Lorraine Juniors,/iframe/CompetitionResults/45016?disciplineId=10,FRA,2.1,0
10 Jun-16 Jun 2009,Circuito Montañés,/iframe/CompetitionResults/43190?disciplineId=10,ESP,2.2,0
09 Jun-14 Jun 2009,Tour de Beauce,/iframe/CompetitionResults/43199?disciplineId=10,CAN,2.2,0
